,final_risk_level,route_id,school_name,borough,length_km,collision_count,casualty_count,collision_count_per_km,casualty_count_per_km,poisson_risk_ratio_collision_count
624,Critical Risk,bankwood_primary_3,Bankwood Primary,Sheffield,0.404,1,3,2.4752475247524752,7.425742574257425,6.822392720371717
1476,Critical Risk,woodhouse_west_primary_school_0,Woodhouse West Primary School,Sheffield,0.885,3,5,3.389830508474576,5.649717514124294,9.34320913935617
1478,Critical Risk,woodhouse_west_primary_school_5,Woodhouse West Primary School,Sheffield,0.913,2,4,2.190580503833516,4.381161007667032,6.037780278346547
461,Critical Risk,oasis_academy_fir_vale_0,Oasis Academy Fir Vale,Sheffield,0.566,2,2,3.53356890459364,3.53356890459364,9.739387556739091
634,Critical Risk,town_field_primary_school_1,Town Field Primary School,Doncaster,2.723,5,8,1.8362100624311422,2.9379360998898276,5.061047956540589
1477,Critical Risk,woodhouse_west_primary_school_1,Woodhouse West Primary School,Sheffield,1.393,2,4,1.4357501794687724,2.8715003589375447,3.957281704906952
621,Critical Risk,bankwood_primary_0,Bankwood Primary,Sheffield,1.083,1,3,0.9233610341643583,2.770083102493075,2.545010804989836
1024,Critical Risk,wisewood_community_primary_school_1,Wisewood Community Primary School,Sheffield,0.733,1,2,1.364256480218281,2.728512960436562,3.7602274074376894
160,Critical Risk,town_field_primary_school_8,Town Field Primary School,Doncaster,1.481,3,4,2.025658338960162,2.7008777852802157,5.583214129594976
1141,Critical Risk,meadowhead_school_academy_10,Meadowhead School Academy,Sheffield,1.122,3,3,2.67379679144385,2.67379679144385,7.369643590076529
161,High Risk,town_field_primary_school_9,Town Field Primary School,Doncaster,2.58,3,4,1.1627906976744187,1.5503875968992247,3.204938042524388
1728,High Risk,king_edward_vii_-_lower_school_8,King Edward Vii - Lower School,Sheffield,2.626,3,4,1.1424219345011424,1.5232292460015233,3.148796706121224
159,High Risk,town_field_primary_school_0,Town Field Primary School,Doncaster,2.646,3,4,1.1337868480725624,1.5117157974300832,3.124996277593477
54,High Risk,all_saints_academy_1,All Saints Academy,Barnsley,3.354,4,4,1.1926058437686344,1.1926058437686344,3.2871159439908304
1204,High Risk,king_edward_vii_-_lower_school_24,King Edward Vii - Lower School,Sheffield,3.37,3,4,0.8902077151335311,1.1869436201780414,2.4536320941323386
148,High Risk,outwood_academy_danum_22,Outwood Academy Danum,Doncaster,3.417,4,4,1.170617500731636,1.170617500731636,3.226510645815422
264,High Risk,doncaster_school_for_the_deaf_and_communication_specialist_college_11,Doncaster School For The Deaf And Communication Specialist College,Doncaster,5.468,5,6,0.9144111192392099,1.097293343087052,2.5203426501585726
839,High Risk,astrea_academy_woodfields_1,Astrea Academy Woodfields,Doncaster,5.528,3,6,0.5426917510853836,1.0853835021707672,1.4957923601310383
103,High Risk,kelford_school_16,Kelford School,Rotherham,3.69,4,4,1.0840108401084012,1.0840108401084012,2.987801322259726
859,High Risk,astrea_academy_woodfields_18,Astrea Academy Woodfields,Doncaster,5.601,2,6,0.35707909301910373,1.0712372790573113,0.9841980797475843
1736,Low Risk,athelstan_primary_1,Athelstan Primary,Sheffield,2.248,1,2,0.4448398576512455,0.889679715302491,1.2260883963492955
577,Low Risk,norton_infant_school_2,Norton Infant School,Doncaster,2.249,1,2,0.4446420631391729,0.8892841262783459,1.225543225877576
583,Low Risk,norton_infant_school_8,Norton Infant School,Doncaster,2.26,1,2,0.4424778761061947,0.8849557522123894,1.2195781925036808
587,Low Risk,norton_junior_school_11,Norton Junior School,Doncaster,2.369,1,2,0.4221190375685943,0.8442380751371886,1.1634642108988849
1449,Low Risk,birkwood_primary_school_3,Birkwood Primary School,Barnsley,2.383,1,2,0.419639110365086,0.839278220730172,1.1566289197179234
2089,Low Risk,carcroft_primary_school_5,Carcroft Primary School,Doncaster,2.397,1,2,0.41718815185648733,0.8343763037129747,1.149873473406494
2086,Low Risk,carcroft_primary_school_2,Carcroft Primary School,Doncaster,2.449,1,2,0.4083299305839118,0.8166598611678236,1.1254580302162192
2092,Low Risk,owston_park_primary_school_5,Owston Park Primary School,Doncaster,2.459,1,2,0.40666937779585194,0.8133387555917039,1.1208811370659981
1426,Low Risk,scawsby_saltersgate_infant_school_8,Scawsby Saltersgate Infant School,Doncaster,2.488,1,2,0.40192926045016075,0.8038585209003215,1.1078162042507793
582,Low Risk,norton_infant_school_7,Norton Infant School,Doncaster,2.509,1,2,0.3985651654045437,0.7971303308090874,1.0985439283653495
1992,Minimal Risk,astrea_academy_woodfields_2,Astrea Academy Woodfields,Doncaster,5.165,1,3,0.1936108422071636,0.5808325266214908,0.5336392491612213
1995,Minimal Risk,astrea_academy_woodfields_5,Astrea Academy Woodfields,Doncaster,5.315,1,3,0.18814675446848542,0.5644402634054562,0.5185788752715544
1994,Minimal Risk,astrea_academy_woodfields_4,Astrea Academy Woodfields,Doncaster,5.348,1,3,0.1869857890800299,0.5609573672400898,0.5153789682311726
1993,Minimal Risk,astrea_academy_woodfields_3,Astrea Academy Woodfields,Doncaster,5.587,1,3,0.17898693395382137,0.5369608018614641,0.4933321500484659
708,Minimal Risk,campsmount_academy_13,Campsmount Academy,Doncaster,5.642,2,3,0.35448422545196734,0.531726338177951,0.9770459845334529
132,Minimal Risk,don_valley_academy_12,Don Valley Academy,Doncaster,5.643,2,3,0.354421407052986,0.531632110579479,0.976872841527463
131,Minimal Risk,don_valley_academy_11,Don Valley Academy,Doncaster,5.701,2,3,0.35081564637782847,0.5262234695667427,0.966934475502343
1490,Minimal Risk,hall_cross_academy_lower_school_12,Hall Cross Academy Lower School,Doncaster,5.764,2,3,0.3469812630117973,0.520471894517696,0.9563659689355554
1470,Minimal Risk,the_mcauley_catholic_high_school_-_lower_school_15,The Mcauley Catholic High School - Lower School,Doncaster,5.774,2,3,0.34638032559750603,0.5195704883962591,0.9547096371598726
